departamento;provincia;ubigeo;pob2017;pob2020;pobreza;desempleo_n;ingreso_porc;nosec25;nosec25_porc;p65amas;p65amas_porc;p17amenos;p17amenos_porc;pmayorde5disc;pmayorde5disc_porc;hogarmonop;pobind;esp2dalengua;esp2dalengua_porc;vivprecaria;hacinam;carret_asfalt;adultos_hta_freq;adultos_hyperchol_freq;adultos_ecv_freq;adultos_asma_freq;adultos_epoc_freq;tabaco;cancer_c;cancer_d;vih;obes_imc30_freq;adultos_diabetes_freq;densidadpob;mortalidad_iras;mortalidad_irasx100000;n_camas_hospitalarias;n_camas_uci;n_medicos;n_ventiladores;gastoregsalud_porc;gastoxcapitasalud;labcovid;n_emergencia;desempleo_porc;hogarmonop_porc;hacinam_porc;hta_porc;coles_porc;ecv_porc;asma_porc;epoc_porc;obesidad_porc;diabetes_porc;cancer_n;cancer_porc;camas_hospix100mil;camas_ucix100mil;medicosx100mil;ventiladoresx100mil;labcovidx100mil;emergenciax100mil
AMAZONAS;BAGUA;102;74100;84672;86;44750;733;20121;0;7352;0;32185;0;5712;0;13594;0;20583;0;1;13572;0;333;2040;28;105;167;16;108;610;588;2591;653;13;1;1;131;12;83;0;1;29;1;1;1;0;0;0;0;0;0;0;0;0;718;0;177;16;112;23;1;1
AMAZONAS;BONGARA;103;25637;26830;96;14029;646;9184;0;3253;0;9444;0;3035;0;4572;0;319;0;1;4016;0;737;731;14;34;146;16;25;127;819;770;113;9;3;12;52;0;16;0;1;29;1;2;1;0;0;0;0;0;0;0;0;0;152;0;203;0;62;23;4;8
AMAZONAS;CHACHAPOYAS;101;55506;63188;145;30192;945;14959;0;7311;0;19117;0;5586;0;9882;0;1635;0;0;6242;0;562;975;168;116;290;16;149;641;744;1265;129;17;10;18;245;23;94;12;1;29;1;1;1;0;0;0;0;0;0;0;0;0;790;0;441;41;169;23;2;2
AMAZONAS;CONDORCANQUI;104;42470;51344;7;30189;231;10642;0;1928;0;26643;1;901;0;7171;1;26157;1;1;7873;0;123;93;3;42;13;16;37;115;581;673;68;2;0;0;92;0;15;0;1;29;1;2;1;0;0;0;0;0;0;0;0;0;152;0;217;0;35;23;2;5
AMAZONAS;LUYA;105;44436;47827;27;27835;473;17733;0;6748;0;17910;0;4863;0;5904;0;701;0;1;6313;0;854;633;25;216;153;16;124;143;51;1630;144;14;1;2;108;0;28;0;1;29;1;1;1;0;0;0;0;0;0;0;0;0;267;0;243;0;63;23;2;2
AMAZONAS;RODRIGUEZ DE MENDOZA;106;29998;33651;97;16721;540;11671;0;4102;0;11591;0;3145;0;3924;0;653;0;1;4799;0;506;736;9;86;84;16;80;109;308;668;111;13;0;0;54;0;22;0;1;29;1;1;1;0;0;0;0;0;0;0;0;0;189;0;180;0;73;23;3;3
AMAZONAS;UTCUBAMBA;107;107237;119294;111;62307;828;35828;0;12169;0;43325;0;10020;0;18162;0;899;0;1;20375;0;1004;1054;34;254;146;16;86;684;75;1902;437;28;3;3;104;5;59;2;1;29;1;1;1;0;0;0;0;0;0;0;0;0;770;0;97;5;55;23;1;1
ANCASH;AIJA;202;6316;6433;104;3940;503;1988;0;1262;0;2204;0;593;0;989;0;2578;0;1;821;0;46;46;2;9;287;16;6;1;39;1146;10;9;0;0;5;0;5;0;0;45;0;0;1;0;0;0;0;0;0;0;0;0;7;0;79;0;79;11;0;0
ANCASH;ANTONIO RAIMONDI;203;13650;13950;64;9780;301;4182;0;2286;0;5877;0;1330;0;1735;1;10039;1;1;1663;0;107;140;13;7;9;16;12;20;0;713;14;24;1;7;6;0;9;0;0;45;0;1;1;0;0;0;0;0;0;0;0;0;32;0;44;0;66;11;0;7
ANCASH;ASUNCION;204;7378;7710;95;5459;526;2670;0;1469;0;2702;0;1159;0;958;1;5379;1;1;944;1;7;23;1;21;234;16;6;127;0;822;1;14;1;14;52;0;3;0;0;45;0;0;1;0;0;0;0;0;0;0;0;0;133;0;705;0;41;11;0;0
