departamento,provincia,ubigeo,pob2017,pob2020,pobreza,desempleo_n,ingreso_porc,nosec25,nosec25_porc,p65amas,p65amas_porc,p17amenos,p17amenos_porc,pmayorde5disc,pmayorde5disc_porc,hogarmonop,pobind,esp2dalengua,esp2dalengua_porc,vivprecaria,hacinam,carret_asfalt,adultos_hta_freq,adultos_hyperchol_freq,adultos_ecv_freq,adultos_asma_freq,adultos_epoc_freq,tabaco,cancer_c,cancer_d,vih,obes_imc30_freq,adultos_diabetes_freq,densidadpob,mortalidad_iras,mortalidad_irasx100000,n_camas_hospitalarias,n_camas_uci,n_medicos,n_ventiladores,gastoregsalud_porc,gastoxcapitasalud,labcovid,n_emergencia,desempleo_porc,hogarmonop_porc,hacinam_porc,hta_porc,coles_porc,ecv_porc,asma_porc,epoc_porc,obesidad_porc,diabetes_porc,cancer_n,cancer_porc,camas_hospix100mil,camas_ucix100mil,medicosx100mil,ventiladoresx100mil,labcovidx100mil,emergenciax100mil
AMAZONAS,BAGUA,102,74100,84672,86,44750,732.51,20121,.27153846,7351.6315,.0992123,32185.105,.4343469,5712,.07708502,13594,.24917609,20583,.27777328,.5926741800000001,13572,.1830013,333,2040,28,105,167,15.71,108,610,587.5,2591,653,12.896556,1,1.3495277,131,12,83,0,.9728625,29.44372,1,1,.6039136000000001,.1834548,.1831579,.0044939,.0275304,.0003779,.001417,.0022537,.0349663,.0088124,718,.0096896,176.7881,16.19433198380567,112.0108,23.484308,1.349528,1.349528
AMAZONAS,BONGARA,103,25637,26830,96,14029,646.05,9184,.35823224,3253.2096,.1268951,9443.6428,.3683599,3035,.11838359,4572,.04383792,319,.01244295,.55925014,4016,.01758882,737,731,14,34,146,15.71,25,127,819.2,770,113,8.932752600000001,3,11.701837,52,0,16,0,.9728625,29.44372,1,2,.5472169,.178336,.1566486,.0287475,.0285135,.0005461,.0013262,.0056949,.0300347,.0044077,152,.0059289,202.8318,0,62.4098,23.484308,3.900612,7.801225
AMAZONAS,CHACHAPOYAS,101,55506,63188,145,30192,944.58,14959,.2695024,7310.6589,.13170935,19116.811,.34440982,5586,.10063777,9882,.08521236,1635,.02945627,.45960426,6242,.01004195,562,975,168,116,290,15.71,149,641,744,1265,129,16.759058,10,18.01607,245,23,94,12,.9728625,29.44372,1,1,.5439412,.1780348,.1124563,.010125,.0175657,.0030267,.0020899,.0052247,.0227903,.0023241,790,.0142327,441.3937,41.43696176989875,169.3511,23.484308,1.801607,1.801607
AMAZONAS,CONDORCANQUI,104,42470,51344,7,30189,230.67,10642,.25057688,1927.6169,.04538773,26643.444,.62734741,901,.02121498,7171,.82185137,26157,.61589357,.7439275400000001,7873,0,123,93,3,42,13,15.71,37,115,581.1,673,68,2.3772221,0,0,92,0,15,0,.9728625,29.44372,1,2,.7108312,.1688486,.1853779,.0028962,.0021898,.0000706,.0009889,.0003061,.0158465,.0016011,152,.003579,216.6235,0,35.31905,23.484308,2.354603,4.709207
AMAZONAS,LUYA,105,44436,47827,27,27835,473.26,17733,.39906832,6747.5517,.15184876,17909.997,.40305151,4863,.10943829,5904,.0314614,701,.0157755,.82315591,6313,.0768643,854,633,25,216,153,15.71,124,143,50.89,1630,144,13.727525,1,2.2504276,108,0,28,0,.9728625,29.44372,1,1,.6264065,.1328653,.1420695,.0192187,.0142452,.0005626,.0048609,.0034432,.036682,.0032406,267,.0060086,243.0462,0,63.01197,23.484308,2.250427,2.250427
AMAZONAS,RODRIGUEZ DE MENDOZA,106,29998,33651,97,16721,540.18,11671,.38905927,4101.9574,.13674103,11590.667,.38638132,3145,.10484032,3924,.02157062,653,.02176812,.61579066,4799,0,506,736,9,86,84,15.71,80,109,307.75,668,111,12.716405,0,0,54,0,22,0,.9728625,29.44372,1,1,.5574038,.1308087,.1599773,.0168678,.024535,.0003,.0028669,.0028002,.0222682,.0037002,189,.0063004,180.012,0,73.33823,23.484308,3.333555,3.333555
AMAZONAS,UTCUBAMBA,107,107237,119294,111,62307,827.9,35828,.3341011,12169.224,.11347972,43325.478,.40401614,10020,.0934379,18162,.0310951,899,.0083833,.60431083,20375,.00464245,1004,1054,34,254,146,15.71,86,684,75.31999999999999,1902,437,27.781606,3,2.7975419,104,5,59,2,.9728625,29.44372,1,1,.5810215,.1693632,.1899997,.0093624,.0098287,.0003171,.0023686,.0013615,.0177364,.0040751,770,.0071804,96.98145,4.662569821983085,55.01833,23.484308,.932514,.932514
ANCASH,AIJA,202,6316,6433,104,3940,502.85,1988,.31475617,1262.0563,.19981893,2203.9192,.34894224,593,.09388854,989,.4053143,2578,.40816973,.88511077,821,.00451279,46,46,2,9,287,16.06,6,1,39.49,1146,10,9.065334699999999,0,0,5,0,5,0,.45715783,45.30648,0,0,.6238126000000001,.1565865,.1299873,.0072831,.0072831,.0003167,.001425,.0454402,.1814439,.0015833,7,.0011083,79.16401999999999,0,79.16401999999999,11.002665,0,0
ANCASH,ANTONIO RAIMONDI,203,13650,13950,64,9780,301.19,4182,.30637363,2285.8034,.16745813,5877.2995,.43057139,1330,.0974359,1735,.65238654,10039,.73545788,.90834654,1663,.0093496,107,140,13,7,9,16.06,12,20,0,713,14,24.288256,1,7.3260073,6,0,9,0,.45715783,45.30648,0,1,.7164835000000001,.1271062,.1218315,.0078388,.0102564,.0009524,.0005128,.0006593,.0522344,.0010256,32,.0023443,43.95604,0,65.93407000000001,11.002665,0,7.326007
ANCASH,ASUNCION,204,7378,7710,95,5459,525.93,2670,.36188669,1468.5471,.19904407,2702.2433,.36625688,1159,.15708864,958,.55331263,5379,.72905937,.79669852,944,.99741873,7,23,1,21,234,16.06,6,127,0,822,1,13.94707,1,13.553809,52,0,3,0,.45715783,45.30648,0,0,.7399024,.1298455,.127948,.0009488,.0031174,.0001355,.0028463,.0317159,.1114123,.0001355,133,.0180266,704.798,0,40.66143,11.002665,0,0
ANCASH,BOLOGNESI,205,23797,24012,121,15019,682.76,6669,.28024541,4112.671,.17282309,7795.6814,.32759093,2754,.11572887,4621,.47012444,6059,.25461193,.70005867,3061,.14578447,71,525,7,32,244,16.06,13,72,256.8,1903,44,7.5426307,1,4.2022104,34,0,17,0,.45715783,45.30648,0,2,.63113,.1941841,.1286297,.0029836,.0220616,.0002942,.0013447,.0102534,.0799681,.001849,85,.0035719,142.8752,0,71.43758,11.002665,0,8.404420999999999
ANCASH,CARHUAZ,206,45184,50007,109,30566,495.28,17164,.37986898,6811.2919,.15074566,15191.471,.3362135,4935,.10922008,6959,.72401161,29912,.66200425,.71944936,6775,.96093667,195,832,11,37,510,16.06,27,280,0,3798,119,56.199005,39,86.313739,51,0,35,0,.45715783,45.30648,0,2,.6764784,.1540147,.1499425,.0043157,.0184136,.0002434,.0008189,.0112872,.0840563,.0026337,307,.0067944,112.8718,0,77.46105,11.002665,0,4.426346
ANCASH,CARLOS FERMIN FITZCARRALD,207,17717,18496,63,13694,330.53,6956,.39261726,3459.6591,.19527342,7087.2291,.40002422,2030,.11457922,2734,.68632472,14630,.82576057,.87721665,2286,.86778037,42,215,7,37,67,16.06,8,25,16.03,1019,10,28.392628,5,28.221482,16,0,8,0,.45715783,45.30648,0,3,.77293,.1543151,.1290286,.0023706,.0121352,.0003951,.0020884,.0037817,.0575154,.0005644,33,.0018626,90.30875,0,45.15437,11.002665,0,16.93289
ANCASH,CASMA,208,50989,57256,154,28123,965.54,11256,.2207535,6313.7404,.12382554,17404.463,.3413376,5120,.10041381,11055,.20794398,8003,.15695542,.50154522,7050,0,30,864,16,39,741,16.06,17,181,64.59999999999999,3571,63,22.532989,3,5.883622,69,0,27,0,.45715783,45.30648,0,1,.5515503,.2168115,.1382651,.0005884,.0169448,.0003138,.0007649,.0145325,.0700347,.0012356,198,.0038832,135.3233,0,52.9526,11.002665,0,1.961207
ANCASH,CORONGO,209,7532,8017,60,5327,504.68,2774,.36829527,1420.3388,.18857392,2527.0492,.33550839,758,.10063728,936,.24319548,909,.12068508,.79012346,879,0,132,66,1,24,240,16.06,4,9,0,444,23,7.6234818,0,0,14,0,4,0,.45715783,45.30648,0,0,.707249,.1242698,.1167021,.0175252,.0087626,.0001328,.0031864,.031864,.0589485,.0030536,13,.001726,185.8736,0,53.10674,11.002665,0,0
ANCASH,HUARAZ,201,163936,185276,166,95143,902.68,32274,.19686951,21500.744,.13115328,53765.619,.32796713,17343,.10579128,33974,.55782164,59861,.36514859,.36633261,21142,0,404,1679,185,454,818,16.06,417,1282,96.51000000000001,6952,476,65.75852399999999,35,21.349795,309,16,184,6,.45715783,45.30648,0,1,.5803667,.2072394,.128965,.0024644,.0102418,.0011285,.0027694,.0049898,.0424068,.0029036,1699,.0103638,188.4882,9.759906304899474,112.2389,11.002665,0,.6099942
ANCASH,HUARI,210,58714,63264,108,40405,569.09,17776,.30275573,8833.9439,.1504572,20940.936,.35666002,6072,.10341656,8844,.69899218,40569,.69095957,.79660466,7773,.4966287,365,1163,10,75,185,16.06,55,216,0,3951,121,18.645284,4,6.8126852,85,0,41,0,.45715783,45.30648,0,3,.6881664,.1506285,.1323875,.0062166,.0198079,.0001703,.0012774,.0031509,.0672923,.0020608,271,.0046156,144.7696,0,69.83002,11.002665,0,5.109514
ANCASH,HUARMEY,211,30560,33066,162,16723,956.66,5528,.18089005,4064.1023,.13298764,9699.337799999999,.31738671,3313,.10840969,6721,.1549272,2356,.07709424,.41755146,4453,.82349574,15,635,7,66,11,16.06,32,179,72.91,1406,7,7.8350537,5,16.361257,18,1,23,0,.45715783,45.30648,0,1,.5472186,.219928,.1457133,.0004908,.0207788,.0002291,.0021597,.0003599,.0460079,.0002291,211,.0069045,58.90052,3.272251308900524,75.26178,11.002665,0,3.272251
