SAN MARTIN;SAN MARTIN;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;1;1;0;1;24;0;2;41;0;0;47;0;1;7;0;2;168;1;2;149;1;2;192;1;5;185;1;1;5;0;2;121;1;1;45;0;2;4;0;1;1;0;Very Low;Low;Low;Very Low;Very High;Low;Very Low;Very Low
JUNIN;YAULI;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;13;0;1;22;0;1;79;0;1;15;0;0;5;0;1;70;0;0;35;0;2;5;0;1;40;0;2;119;1;1;66;0;1;1;0;1;2;0;Very Low;Very Low;Low;Very Low;Very Low;Low;Very Low;Very Low
TUMBES;CONTRALMIRANTE VILLAR;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;33;0;1;1;0;0;23;0;1;74;0;2;181;1;2;159;1;1;144;1;5;172;1;2;117;1;2;54;0;1;74;0;2;10;0;1;3;0;Very Low;Very Low;Very Low;Low;Very High;Low;Very Low;Very Low
LA LIBERTAD;TRUJILLO;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;1;0;21;0;2;91;0;0;26;0;1;13;0;1;87;0;1;26;0;1;140;1;4;140;1;1;23;0;3;164;1;1;90;0;2;12;0;1;4;0;Very Low;Moderate;Very Low;Very Low;High;Moderate;Very Low;Very Low
LA LIBERTAD;PACASMAYO;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;53;0;2;102;1;0;3;0;0;1;0;1;83;0;1;53;0;2;164;1;4;116;1;2;134;1;2;89;0;1;124;1;2;16;0;1;5;0;Low;Moderate;Very Low;Very Low;Moderate;High;Very Low;Very Low
CAJAMARCA;CAJAMARCA;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1;1;2;78;0;1;31;0;1;54;0;1;4;0;1;62;0;0;2;0;1;91;0;3;57;0;1;34;0;2;151;1;1;85;0;2;3;0;1;6;0;Low;Very Low;Low;Very Low;Low;Moderate;Very Low;Very Low
AREQUIPA;CAMANA;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;0;0;20;0;2;46;0;1;93;0;1;14;0;3;191;1;2;184;1;2;170;1;6;194;1;2;80;0;2;64;0;1;58;0;2;21;0;1;7;0;Very Low;Low;Moderate;Very Low;Very High;Low;Very Low;Very Low
MADRE DE DIOS;TAHUAMANU;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;1;0;1;0;0;10;0;1;2;0;1;77;0;1;95;0;2;188;1;3;196;1;2;180;1;5;177;1;1;42;0;2;70;0;1;35;0;2;15;0;1;8;0;Very Low;Very Low;Low;Moderate;Very High;Very Low;Very Low;Very Low
SAN MARTIN;TOCACHE;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;1;1;1;1;51;0;2;33;0;1;56;0;1;50;0;1;76;0;2;158;1;1;69;0;3;86;0;2;74;0;2;117;1;1;97;0;2;8;0;1;9;0;Low;Very Low;Low;Low;Moderate;Moderate;Very Low;Very Low
LA LIBERTAD;VIRU;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;0;0;1;1;64;0;1;24;0;0;29;0;1;82;0;2;97;0;1;36;0;1;75;0;3;89;0;3;183;1;2;125;1;2;172;1;2;33;0;1;10;0;Low;Very Low;Very Low;Moderate;Moderate;Very High;Very Low;Very Low
CUSCO;CUSCO;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;2;0;2;51;0;1;126;1;1;21;0;1;71;0;1;51;0;2;169;1;4;134;1;1;17;0;2;78;0;0;27;0;2;5;0;1;11;0;Very Low;Low;High;Very Low;High;Very Low;Very Low;Very Low
LA LIBERTAD;GRAN CHIMU;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;0;0;0;3;134;1;1;27;0;0;6;0;1;40;0;2;172;1;1;80;0;0;39;0;3;96;0;2;113;1;2;54;0;1;71;0;2;9;0;1;12;0;High;Very Low;Very Low;Low;Moderate;Low;Very Low;Very Low
